tahun,curah hujan
01 Januari 2019,300.5
01 Februari 2019,360.5
01 Maret 2019,133.6
1-Apr-19,128
01 Mei 2019,331.1
01 Juni 2019,207
01 Juli 2019,120.9
01 Agustus 2019,180.4
1-Sep-19,123.6
01 Oktober 2019,224.8
1-Nov-19,273.7
01 Desember 2019,300.5
01 Januari 2020,411.6
01 Februari 2020,173.1
01 Maret 2020,194.2
1-Apr-20,191.7
01 Mei 2020,59.8
01 Juni 2020,47.8
01 Juli 2020,67.2
01 Agustus 2020,0
1-Sep-20,0.5
01 Oktober 2020,122.2
1-Nov-20,142.4
01 Desember 2020,157.9
01 Januari 2021,330.5
01 Februari 2021,262.5
01 Maret 2021,160.1
1-Apr-21,165.7
01 Mei 2021,84.5
01 Juni 2021,33.4
01 Juli 2021,84.1
01 Agustus 2021,84.9
1-Sep-21,157.2
01 Oktober 2021,127.6
1-Nov-21,384.2
01 Desember 2021,235.8
